Price	Age	KM	FuelType	HP	MetColor	Automatic	CC	Doors	Weight	Price_class	KM_per_month	age_converted	km_per_month
13500	23.0	46986.0	Diesel	90	1.0	0	2000	3	1165	High	2042.8695652173913	1.9166666666666667	2042.8695652173913
13750	23.0	72937.0	Diesel	90	1.0	0	2000	3	1165	High	3171.1739130434785	1.9166666666666667	3171.1739130434785
13950	24.0	41711.0	Diesel	90		0	2000	3	1165	High	1737.9583333333333	2.0	1737.9583333333333
14950	26.0	48000.0	Diesel	90	0.0	0	2000	3	1165	High	1846.1538461538462	2.1666666666666665	1846.1538461538462
13750	30.0	38500.0	Diesel	90	0.0	0	2000	3	1170	High	1283.3333333333333	2.5	1283.3333333333333
12950	32.0	61000.0	Diesel	90	0.0	0	2000	3	1170	High	1906.25	2.6666666666666665	1906.25
16900	27.0		Diesel	????		0	2000	3	1245	High		2.25	
18600	30.0	75889.0		90	1.0	0	2000	3	1245	High	2529.633333333333	2.5	2529.633333333333
21500	27.0	19700.0	Petrol	192	0.0	0	1800	3	1185	High	729.6296296296297	2.25	729.6296296296297
12950	23.0	71138.0	Diesel	????		0	1900	3	1105	High	3092.9565217391305	1.9166666666666667	3092.9565217391305
20950	25.0	31461.0	Petrol	192	0.0	0	1800	3	1185	High	1258.44	2.0833333333333335	1258.44
19950	22.0	43610.0	Petrol	192	0.0	0	1800	3	1185	High	1982.2727272727273	1.8333333333333333	1982.2727272727273
19600	25.0	32189.0	Petrol	192	0.0	0	1800	3	1185	High	1287.56	2.0833333333333335	1287.56
21500	31.0	23000.0	Petrol	192	1.0	0	1800	3	1185	High	741.9354838709677	2.5833333333333335	741.9354838709677
22500	32.0	34131.0	Petrol	192	1.0	0	1800	3	1185	High	1066.59375	2.6666666666666665	1066.59375
22000	28.0	18739.0	Petrol	????	0.0	0	1800	3	1185	High	669.25	2.3333333333333335	669.25
22750	30.0	34000.0	Petrol	192	1.0	0	1800	3	1185	High	1133.3333333333333	2.5	1133.3333333333333
17950	24.0	21716.0	Petrol	110	1.0	0	1600	3	1105	High	904.8333333333334	2.0	904.8333333333334
16750	24.0	25563.0	Petrol	110	0.0	0	1600	3	1065	High	1065.125	2.0	1065.125
16950	30.0	64359.0	Petrol	110	1.0	0	1600	3	1105	High	2145.3	2.5	2145.3
15950	30.0	67660.0	Petrol	110	1.0	0	1600	3	1105	High	2255.3333333333335	2.5	2255.3333333333335
16950	29.0	43905.0		110	0.0	1	1600	3	1170	High	1513.9655172413793	2.4166666666666665	1513.9655172413793
15950	28.0	56349.0	Petrol	110	1.0	0	1600	3	1120	High	2012.4642857142858	2.3333333333333335	2012.4642857142858
16950	28.0	32220.0	Petrol	110	1.0	0	1600	3	1120	High	1150.7142857142858	2.3333333333333335	1150.7142857142858
16250	29.0	25813.0	Petrol	110	1.0	0	1600	3	1120	High	890.1034482758621	2.4166666666666665	890.1034482758621
15950	25.0	28450.0	Petrol	110	1.0	0	1600	3	1120	High	1138.0	2.0833333333333335	1138.0
17495	27.0	34545.0		110	1.0	0	1600	3	1120	High	1279.4444444444443	2.25	1279.4444444444443
15750	29.0	41415.0	Petrol	110	1.0	0	1600	3	1120	High	1428.103448275862	2.4166666666666665	1428.103448275862
16950	28.0	44142.0	Petrol	110	0.0	0	1600	3	1120	High	1576.5	2.3333333333333335	1576.5
17950	30.0	11090.0		110		0	1600	3	1120	High	369.6666666666667	2.5	369.6666666666667
12950	29.0	9750.0	Petrol	97	1.0	0	1400	3	1100	High	336.2068965517241	2.4166666666666665	336.2068965517241
15750	22.0	35199.0	Petrol	97	1.0	0	1400	3	1100	High	1599.9545454545455	1.8333333333333333	1599.9545454545455
15950	27.0	29510.0	Petrol	97	1.0	0	1400	3	1100	High	1092.962962962963	2.25	1092.962962962963
14950		32692.0	Petrol	97	1.0	0	1400	3	1100	High			
15500	22.0	41000.0	Petrol	97	1.0	0	1400	3	1100	High	1863.6363636363637	1.8333333333333333	1863.6363636363637
15750	26.0	43000.0	Petrol	97	0.0	0	1400	3	1100	High	1653.8461538461538	2.1666666666666665	1653.8461538461538
15950	25.0	25000.0	Petrol	97	0.0	0	1400	3	1100	High	1000.0	2.0833333333333335	1000.0
14950	23.0	10000.0	Petrol	97	1.0	0	1400	3	1100	High	434.7826086956522	1.9166666666666667	434.7826086956522
15750	32.0	25329.0	Petrol	97	1.0	0	1400	3	1100	High	791.53125	2.6666666666666665	791.53125
14750	27.0	27500.0	Petrol	97	0.0	0	1400	3	1100	High	1018.5185185185185	2.25	1018.5185185185185
13950	22.0	49059.0	Petrol	97	0.0	0	1400	3	1100	High	2229.9545454545455	1.8333333333333333	2229.9545454545455
16750	27.0	44068.0	Petrol	97	1.0	0	1400	3	1100	High	1632.148148148148	2.25	1632.148148148148
13950	22.0	46961.0	Petrol	97	0.0	0	1400	3	1100	High	2134.590909090909	1.8333333333333333	2134.590909090909
16950	27.0	110404.0	Diesel	90		0	2000	5	1255	High	4089.037037037037	2.25	4089.037037037037
16950	22.0	100250.0		90	0.0	0	2000	5	1255	High	4556.818181818182	1.8333333333333333	4556.818181818182
19000	23.0	84000.0	Diesel	90		0	2000	5	1270	High	3652.1739130434785	1.9166666666666667	3652.1739130434785
17950	27.0	79375.0	Diesel	90	1.0	0	2000	5	1255	High	2939.814814814815	2.25	2939.814814814815
15800	22.0	75048.0	Petrol	97	1.0	0	1400	5	1110	High	3411.2727272727275	1.8333333333333333	3411.2727272727275
17950	22.0	72215.0	Diesel	90	1.0	0	2000	5	1255	High	3282.5	1.8333333333333333	3282.5
21950	31.0	64982.0	Petrol	192		0	1800	5	1195	High	2096.1935483870966	2.5833333333333335	2096.1935483870966
17950	22.0	62636.0	Diesel	90	1.0	0	2000	5	1255	High	2847.090909090909	1.8333333333333333	2847.090909090909
15750	30.0	57086.0	Petrol	97	1.0	0	1400	5	1110	High	1902.8666666666666	2.5	1902.8666666666666
20500	26.0	56000.0	Petrol	110	1.0	1	1600	5	1180	High	2153.846153846154	2.1666666666666665	2153.846153846154
21950	27.0	49866.0	Petrol	192	1.0	0	1800	5	1195	High	1846.888888888889	2.25	1846.888888888889
15500	25.0	49163.0	Petrol	110	0.0	1	1600	5	1165	High	1966.52	2.0833333333333335	1966.52
